PARTNER,ZZBFLD00000A
8000067,MD2A11CZ0EWK02594
8000068,MD2A11CZ0EWK02627
8000069,MD2A11CZ1DCG20956
8000070,MD2A11CZ1EWK02216
8000071,MD2A11CZ1EWK02233
8000072,MD2A11CZ3ECK05930
8000073,MD2A11CZ3EWK02590
8000074,MD2A11CZ4ECK06567
8000075,MD2A11CZ6ECK06554
8000076,MD2A11CZ6EWK02227
8000077,MD2A11CZ7EWK02205
8000078,MD2A11CZ9ECL18541
8000079,MD2A11CZXEWK02277
8000080,MD2A13EZXECK03813
8000081,MD2A14AZ3DWJ36657
8000082,MD2A14AZ5DWJ36398
8000083,MD2A14AZ5DWJ36725
8000084,MD2A14AZ7EWK03827
8000085,MD2A14AZ7EWK04119
8000086,MD2A14AZ8DWJ35875
8000087,MD2A14AZ8DWJ38212
8000088,MD2A14AZ8EWK01665
8000089,MD2A14AZ9EWK01660
8000090,MD2A14AZ9EWK03604
8000091,MD2A15BZXEWK06502
8000092,MD2A18AZ0DWH07936
8000093,MD2A18AZ0EWK06771
8000094,MD2A18AZ0EWK10304
8000095,MD2A18AZ1EWK05290
8000096,MD2A18AZ1EWK05483
8000097,MD2A18AZ1EWK10795
8000098,MD2A18AZ2DWJ11742
8000099,MD2A18AZ2DWJ12034
8000100,MD2A18AZ2DWJ12292
8000101,MD2A18AZ2EWK04875
8000102,MD2A18AZ2EWK05282
8000103,MD2A18AZ3DWJ10082
8000104,MD2A18AZ3EWK01418
8000105,MD2A18AZ3EWK02360
8000106,MD2A18AZ3EWK05338
8000107,MD2A18AZ3EWK10250
8000108,MD2A18AZ3EWL03222
8000109,MD2A18AZ4DWE00172
8000110,MD2A18AZ4DWJ12343
8000111,MD2A18AZ4DWJ13962
8000112,MD2A18AZ4EWK05445
8000113,MD2A18AZ4EWK05896
8000114,MD2A18AZ4EWK07325
8000115,MD2A18AZ4EWK09804
8000116,MD2A18AZ4EWK10287
8000117,MD2A18AZ5DWG16368
8000118,MD2A18AZ5EWK05311
8000119,MD2A18AZ5EWK06264
8000120,MD2A18AZ6DWG16363
8000121,MD2A18AZ6EWK04927
8000122,MD2A18AZ6EWK08301
8000123,MD2A18AZ7DWJ09663
8000124,MD2A18AZ7DWJ13504
8000125,MD2A18AZ7EWK05312
8000126,MD2A18AZ8EWK05383
8000127,MD2A18AZ8EWK05478
8000128,MD2A18AZ8EWK10261
8000129,MD2A18AZ9EWK05232
8000130,MD2A18AZ9EWK08261
8000131,MD2A18AZXDWF02818
8000132,MD2A18AZXEWK02355
8000133,MD2A18AZXEWK05014
8000134,MD2A18AZXEWK06051
8000135,MD2A22EZ6DCG59042
8000136,MD2A37CZ5CWF29666
8000137,MD2A51BZ4DWG08658
8000138,MD2A51BZ5EWK00538
8000139,MD2A51BZ7DWD34212
8000140,MD2A52CZ5DWD06381
8000141,MD2A52CZ6DWE19370
8000142,MD2A52CZ9DWD14404
8000143,MD2A57AZ0DWF00428
8000144,MD2A57AZ0DWJ10698
8000145,MD2A57AZ0EWK10186
8000146,MD2A57AZ0EWK10205
8000147,MD2A57AZ1DWF00311
8000148,MD2A57AZ1DWJ17689
8000149,MD2A57AZ1DWJ18454
8000150,MD2A57AZ2DWJ15787
8000151,MD2A57AZ2EWL19779
8000152,MD2A57AZ3DWH35860
8000153,MD2A57AZ3EWK04608
8000154,MD2A57AZ3EWK09100
8000155,MD2A57AZ3EWK09579
8000156,MD2A57AZ4DWJ10557
8000157,MD2A57AZ4DWJ18318
8000158,MD2A57AZ5DWH39294
8000159,MD2A57AZ5DWJ10597
8000160,MD2A57AZ5EWK10197
8000161,MD2A57AZ6EWL19672
8000162,MD2A57AZ7EWK10749
8000163,MD2A57AZ8DWJ10500
8000164,MD2A57AZXDWF01389
8000165,MD2A57AZXDWH39355
8000166,MD2A57AZXDWJ16685
