Part No,Desc,Type,Category ,Segment,Model,Supplier
AP201057,WIPER MOTORW/CAPACI,3W,EE,Electrical,,FLASH ELECTRONICS ( I ) PVT L
AA121097,CARBURETTOR M/S. U,3W,EC,Proprietary,4S,UCAL FUEL SYSTEMS LTD
AA121142,CARBURETTOR ASSY.(EX,3W,EC,Proprietary,4S,UCAL FUEL SYSTEMS LTD
AA111094,SHAFT GEAR,3W,EE,Electrical,4S,VARROC ENGINEERING PVT LTD
AA121090,CARBURETTOR KEIHIN ,3W,EC,Proprietary,4S,KEIHIN FIE PVT LTD
AA111072,ROTOR 4S PETR / CNG,3W,EE,Electrical,,FLASH ELECTRONICS ( I ) PVT L
AE121006,CARBURETTOR UCAL,3W,EC,Proprietary,2S,UCAL FUEL SYSTEMS LTD.
BB101095,PISTON ASSLY,3W,EC,Proprietary,Diesel,FEDERAL+AC0-MOGUL GOETZE (INDIA)
AA121135,COOLER OIL,3W,EC,Fabrication,4S,PRANAV VIKAS (INDIA) PVT LTD
AL201038,REGULATOR 1PH SERIES,3W,EE,Electrical,Diesel,STAR ENGINEERS (INDIA) PVT. L
AF201036,REGULATOR,3W,EE,Electrical,4S,STAR ENGINEERS(INDIA) PVT LTD
AL201034,PUMP FUEL GC1000,3W,EE,Electrical,Diesel,PRICOL LTD.
AZ351001,ROTOR ASSEMBLY,3W,EE,Electrical,,FLASH ELECTRONICS ( I ) PVT L
AB151063,CYL COMP TANDOM+-OIL,3W,WT,,4S,ENDURANCE TECHNOLOGIES LTD
BA102088,COOLER OIL,3W,EC,Proprietary,Diesel,PRANAV VIKAS (INDIA) PVT LTD
52BA0147,PISTON ASSY RE DIES,3W,EC,Proprietary,Diesel,FEDERAL+AC0-MOGUL GOETZE (INDIA)
AP121025,AIR COMPRESSOR,3W,EC,Proprietary,2S,UCAL FUEL SYSTEMS LTD
AL151171,CYLINDER COMP.TANDOM,3W,WT,Proprietary,Diesel,ENDURANCE TECHNOLOGIES LTD
BA132005,COVER CLUTCH PRESSUR,3W,WT,Casting,Diesel,EXEDY INDIA LIMITED
AN111014,DC IGNITER,3W,EE,Electrical,4S,STAR ENGINEERS (INDIA) PVT. L
AZ351002,STATOR ASSEMBLY,3W,EE,Electrical,,FLASH ELECTRONICS ( I ) PVT L
AA111082,ARMATURE ASSY,3W,EE,Electrical,4S,VARROC ENGINEERING PVT LTD
AF111016,CONTROLLER IGNITER +ACY-,3W,EE,Electrical,4S,STAR ENGINEERS (INDIA) PVT. L
AA111107,DIGITAL CDI WITH STA,3W,EE,Electrical,4S,STAR ENGINEERS (INDIA) PVT. L
AA111051,STATOR ASSY4S PETR /,3W,EE,Electrical,4S,FLASH ELECTRONICS ( I ) PVT L
BA111023,STATOR ASSYSINGLE PH,3W,EE,Electrical,Diesel,VARROC ENGINEERING PRIVATE LI
BA132211,CLUTCH RELEASE BEARI,3W,WT B,Proprietary,Diesel,INA BEARINGS INDIA (P) LIMITED
AA201152,MOTOR WIPER RE 4S,3W,EE,Electrical,4S,FLASH ELECTRONICS ( I ) PVT L
AA111091,IGNITER DC DIGITAL,3W,EE,Electrical,4S,STAR ENGINEERS (INDIA) PVT. L
AN101259,PISTON ASSEMBLY,3W,EC,Proprietary,,FEDERAL+AC0-MOGUL GOETZE (INDIA)
BA132004,CLUTCH DISC ASSY GC,3W,WT,Proprietary,Diesel,EXEDY INDIA LIMITED
AF111012,COIL H. T. 4S CNG,3W,EE,Electrical,4S,JAGDISH ELECTRONICS (I) PVT L
BA111016,RING GEAR,3W,EC,Electrical,Diesel,VARROC ENGINEERING PRIVATE LI
BA111017,PLUG GLOW,3W,EE,Electrical,,BOSCH LTD
AF111010,COIL H.TRE4S,3W,EE,Electrical,4S,JAGDISH ELECTRONICS (I) PVT L
AB151091,CYLINDER. WHEEL RR,3W,WT,Proprietary,,BOSCH CHASSIS SYSTEMS INDIA L
AB151090,CYLINDER. WHEEL FR,3W,WT,Proprietary,4S,BOSCH CHASSIS SYSTEMS INDIA L
36BB0012,KIT PISTON RING KIT ,3W,WT,Proprietary,Diesel,FEDERAL+AC0-MOGUL GOETZE (INDIA)
36AN0013,VALVE KIT CNG,3W,WT,Proprietary,4S,DUROVALVES INDIA PVT LTD
BA102150,RING SET PISTON GC ,3W,WT,Proprietary,Diesel,FEDERAL+AC0-MOGUL GOETZE (INDIA)
BA132007,BEARING CLUTCH,3W,WT B,Proprietary,Diesel,N R B BEARINGS LTD.
BG401401,IGNITION PARKING SWI,3W,EE,Proprietary,,PAVNA ZADI SECURITY SYSTEMS L
AA191085,CABLE CLUTCH COMPL,3W,WT,Proprietary,4S,SUPRAJIT ENGINEERING LIMITED
AA111085,KITBRUSH BOX ASMBLY,3W,EE,Electrical,4S,VARROC ENGINEERING PVT LTD
AN101066,PISTON RING SET,3W,WT,Proprietary,4S,FEDERAL+AC0-MOGUL GOETZE (INDIA)
AA101334,RING PISTON SET 4S,3W,WT,Proprietary,,SHRIRAM PISTONS+ACY-RINGS LTD
AA101217,SET RING PISTON,3W,WT,Proprietary,,SHRIRAM PISTONS+ACY-RINGS LTD
AA201012,RELAY STARTER,3W,EE,Electrical,4S,B.G.LI+AC0-IN ELECTRICALS PVT LTD
BA102113,CARTRIDGE FILTER OIL,3W,PM,Polymer,Diesel,MAHLE FILTER SYSTEMS (INDIA)
BA191027,CABLE CLUTCH FE RE D,3W,WT,Proprietary,Diesel,SUPRAJIT ENGINEERING LIMITED
AA101473,HUB CLUTCH,3W,WT,Casting,4S,HIGH TECHNOLOGY TRANSMISSION
AL151178,SHOE COMP TRAIL W LH,3W,WT,Proprietary,,BOSCH CHASSIS SYSTEMS INDIA L
AL191035,CABLE ASSLY COMPL,3W,WT,Proprietary,Diesel,SUPRAJIT ENGINEERING LIMITED
AA121060,PUMP OIL 4S PETR / C,3W,EE,Electrical,4S,PRICOL LTD.
AA101569,CHAIN TIMING,3W,EC,Proprietary,4S,L.G.BALAKRISHNAN +ACY- BROS LTD.
BA201082,SWITCH OIL PRESSURE ,3W,EE,Electrical,Diesel,MINDA INDUSTRIES LIMITED
BB221003,MIRROR ASSY RH GC 10,3W,BC,Polymer,,VARROC POLYMERS PVT LTD
BB221002,MIRROR ASSY LH GC 10,3W,BC,Polymer,,VARROC POLYMERS PVT LTD
AL171078,BEARING BALL 52X22X1,3W,WT B,Proprietary,,SKF INDIA LTD
BA102014,VALVE INLET GC 1000,3W,WT,Proprietary,Diesel,PERFECT ENGINE COMPONENTS PVT
